;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;SG_UF_ESC;SG_UF_PROVA;TP_LINGUA;TP_SEXO;IN_TREINEIRO;TP_ANO_CONCLUIU;TP_COR_RACA;TP_DEPENDENCIA_ADM_ESC;TP_ENSINO;TP_ESCOLA;TP_ESTADO_CIVIL;TP_FAIXA_ETARIA;TP_LOCALIZACAO_ESC;TP_NACIONALIDADE;TP_SIT_FUNC_ESC;TP_ST_CONCLUSAO
1315461;G;G;D;D;4;Q;A;C;C;B;A;B;B;B;A;B;A;B;C;A;B;D;B;D;B;;SP;0;F;1;;1.0;;;;1.0;2;;1.0;;3
1167278;B;F;A;C;5;I;A;C;D;B;A;B;B;B;B;A;A;B;B;A;A;E;A;A;B;;RS;0;F;0;;1.0;;1.0;2.0;1.0;3;;1.0;;2
124840;B;E;A;A;1;A;A;B;B;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;;BA;0;F;0;2.0;3.0;;;;1.0;4;;1.0;;1
2518117;G;G;D;E;3;J;A;C;D;B;B;C;A;B;B;B;B;B;D;A;B;D;A;D;B;;RS;0;M;1;;1.0;;;;1.0;1;;1.0;;3
529281;D;E;D;B;4;D;A;C;D;B;B;B;B;B;A;B;A;A;B;A;A;C;A;B;B;;SP;0;F;0;;1.0;;1.0;2.0;1.0;2;;1.0;;2
2327444;C;E;A;A;4;B;A;B;D;A;B;B;A;A;A;A;A;A;B;A;A;E;A;B;B;;BA;1;F;0;2.0;3.0;;;;1.0;3;;1.0;;1
772642;A;C;A;B;2;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B;;PB;0;M;0;;3.0;;;;1.0;11;;1.0;;1
2500894;B;B;A;A;2;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;A;;PB;1;M;0;;3.0;;1.0;2.0;1.0;3;;1.0;;2
2119378;G;G;D;D;3;H;A;E;C;C;A;B;A;B;A;B;A;B;C;B;A;D;B;A;B;;SP;0;F;0;1.0;1.0;;;;1.0;3;;1.0;;1
2048666;D;E;A;A;4;C;A;B;C;A;B;B;A;B;A;B;A;A;B;A;A;C;A;A;B;PR;PR;1;F;0;;1.0;2.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
2103620;B;B;A;A;3;C;A;B;D;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B;;BA;0;M;0;;3.0;;1.0;2.0;1.0;3;;1.0;;2
431921;A;B;A;B;7;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A;;PA;0;F;0;4.0;3.0;;;;1.0;9;;1.0;;1
350524;F;B;E;B;4;C;A;B;C;A;A;B;A;B;A;B;A;A;B;A;A;C;A;A;B;;SP;0;F;0;2.0;1.0;;;;1.0;4;;1.0;;1
1570778;E;C;A;A;4;B;A;B;D;B;A;B;B;B;A;B;A;A;B;A;A;B;A;B;B;;GO;0;F;1;;1.0;;;;1.0;1;;1.0;;3
751750;E;G;C;D;4;F;A;B;C;B;B;B;B;B;A;B;A;A;B;A;A;D;A;B;B;;GO;1;M;0;;3.0;;1.0;2.0;1.0;2;;1.0;;2
1830594;D;G;D;D;4;J;B;E;E;C;A;C;B;B;A;B;B;B;E;B;B;E;B;E;B;;CE;0;F;1;;1.0;;;;1.0;1;;1.0;;3
1722115;F;C;;B;3;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B;;PI;0;M;0;;3.0;;;;1.0;10;;1.0;;1
169380;E;E;B;C;3;B;A;C;D;A;A;B;A;B;A;A;A;A;B;B;A;D;A;A;B;;PI;0;F;0;;2.0;;1.0;2.0;1.0;2;;1.0;;2
1346483;F;E;D;B;4;E;A;C;D;B;A;B;A;B;A;B;A;A;B;A;A;E;A;B;B;;SE;1;M;0;4.0;3.0;;;;1.0;6;;1.0;;1
745167;B;A;A;B;3;C;A;B;C;A;A;B;B;A;A;A;A;A;B;A;B;D;A;A;B;SP;SP;0;F;0;;3.0;2.0;1.0;2.0;1.0;2;1.0;1.0;1.0;2
2096580;C;B;D;B;3;E;A;C;C;A;B;B;B;B;B;B;A;A;C;A;A;D;A;A;B;;MG;0;M;0;2.0;1.0;;;;1.0;5;;1.0;;1
1288324;F;E;D;D;4;G;A;C;D;B;A;B;B;B;A;B;A;A;C;A;A;E;B;C;B;MG;MG;0;F;0;;1.0;1.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
2231537;;E;;;2;B;A;B;B;A;A;B;A;B;A;B;A;A;B;A;A;A;A;A;B;;MG;1;F;0;;1.0;;;;1.0;5;;1.0;;1
2096090;C;C;B;B;8;C;A;B;C;A;A;B;A;B;A;A;A;A;C;A;A;D;A;A;B;;PI;0;M;0;8.0;3.0;;;;1.0;10;;1.0;;1
1230899;F;F;;B;2;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;B;B;;PE;0;M;0;;1.0;;1.0;2.0;1.0;3;;1.0;;2
572889;C;C;A;A;3;C;A;B;E;C;A;B;B;A;A;B;A;B;B;B;A;D;A;A;B;;RS;1;M;0;;1.0;;;;1.0;6;;1.0;;1
1830643;B;E;C;C;5;G;A;C;C;C;C;B;B;B;B;B;A;A;B;A;A;B;B;B;B;SP;SP;0;M;0;;1.0;2.0;1.0;2.0;1.0;4;2.0;1.0;1.0;2
1866920;E;E;C;B;4;F;A;B;D;B;B;B;B;B;A;B;A;B;C;A;B;E;B;B;B;;PR;0;M;0;;1.0;;1.0;2.0;1.0;2;;1.0;;2
949507;E;F;;D;4;F;A;B;C;B;B;B;A;B;A;A;A;B;B;A;A;E;A;B;B;;MG;0;M;0;6.0;3.0;;;;1.0;8;;1.0;;1
903882;F;E;E;D;4;E;A;D;E;D;A;B;B;B;A;A;A;B;E;A;B;E;A;D;B;;ES;0;M;0;17.0;1.0;;;;1.0;15;;1.0;;1
1196199;E;E;D;B;1;A;A;B;B;A;A;B;B;B;A;B;A;A;B;A;A;B;A;B;B;;RJ;0;M;0;3.0;1.0;;;;1.0;7;;1.0;;1
2579850;;;B;;2;B;A;B;B;A;A;B;A;A;A;B;A;A;A;A;A;C;A;B;B;DF;DF;0;M;0;;2.0;2.0;1.0;2.0;;3;1.0;1.0;1.0;2
817776;F;F;;;4;H;A;B;D;C;A;B;B;B;B;B;A;B;E;B;B;E;A;E;B;SP;SP;0;M;0;;1.0;4.0;1.0;3.0;1.0;2;1.0;1.0;1.0;2
2204140;D;E;B;B;3;C;A;B;B;A;B;B;A;A;A;B;A;A;B;A;A;C;A;A;B;;CE;1;F;1;;3.0;;;;1.0;1;;1.0;;3
2028708;E;G;D;D;4;H;D;C;D;C;A;B;B;B;A;B;A;A;B;A;B;A;A;C;B;;RS;0;M;1;;1.0;;;;1.0;1;;1.0;;3
1720831;A;D;B;A;3;B;A;B;B;A;A;B;A;B;A;A;A;A;B;B;A;B;A;B;B;CE;CE;1;F;0;;3.0;2.0;1.0;2.0;1.0;4;1.0;1.0;1.0;2
385582;C;D;C;C;5;B;A;B;B;B;A;B;A;B;B;A;A;A;B;A;A;C;A;B;A;;AP;1;F;0;7.0;1.0;;;;2.0;10;;1.0;;1
2096000;E;E;C;B;3;G;A;B;C;C;A;B;B;B;A;B;A;B;B;A;A;D;A;B;B;RJ;RJ;0;M;0;;1.0;1.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
1946764;G;G;E;E;3;O;B;D;D;C;A;B;B;B;A;B;B;A;D;B;B;D;B;D;B;;GO;0;M;0;2.0;1.0;;;;1.0;4;;1.0;;1
1775783;C;C;C;B;5;E;A;B;E;B;A;B;A;A;A;A;A;A;B;A;B;E;A;A;B;;PA;1;F;0;2.0;4.0;;;;1.0;4;;1.0;;1
1070956;C;E;B;D;3;D;A;C;D;A;A;B;A;B;A;B;A;A;C;A;A;D;A;B;B;;PI;1;F;0;5.0;1.0;;;;1.0;7;;1.0;;1
2094188;D;E;C;D;3;G;A;B;D;B;B;B;B;B;B;B;A;B;C;B;B;D;B;C;B;;SC;0;F;1;;1.0;;;;1.0;2;;1.0;;3
2146583;E;D;C;C;5;H;A;B;B;B;A;B;B;B;A;B;A;A;B;A;A;D;A;B;B;;SP;0;M;0;4.0;3.0;;;;1.0;6;;1.0;;1
1368922;E;E;C;B;2;C;A;B;C;A;A;B;A;B;A;B;A;B;C;A;A;C;A;B;B;;PR;0;M;0;2.0;1.0;;;;1.0;6;;1.0;;1
1944062;E;E;C;C;5;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;D;A;A;B;AM;AM;1;M;0;;3.0;2.0;1.0;2.0;1.0;3;1.0;2.0;1.0;2
1090008;A;B;B;B;2;B;A;B;A;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;A;;AL;1;F;0;1.0;2.0;;;;1.0;4;;1.0;;1
2399339;G;G;E;D;4;H;A;C;D;B;A;B;A;B;A;B;A;A;C;A;B;D;A;B;B;;MA;0;F;1;;3.0;;;;1.0;2;;1.0;;3
1620728;E;E;C;B;6;D;A;B;C;B;A;B;A;B;A;A;A;A;B;A;A;D;A;A;B;;GO;1;F;1;;2.0;;;;1.0;2;;1.0;;3
501168;F;E;;;1;D;A;C;C;A;A;B;B;B;A;B;A;A;B;A;A;B;A;B;B;;PB;0;F;0;8.0;3.0;;;;1.0;10;;1.0;;1
343119;D;F;B;D;6;D;A;B;C;B;A;B;A;A;A;A;A;A;B;A;A;C;A;B;B;;CE;0;F;1;;1.0;;;;1.0;2;;1.0;;3
682636;C;D;D;D;2;B;A;C;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;B;B;CE;CE;0;F;0;;1.0;1.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
1267878;;G;;D;3;C;A;C;C;A;A;B;B;B;B;B;A;B;D;A;B;C;B;C;B;;PR;0;F;1;;1.0;;;;1.0;1;;1.0;;3
231269;;D;;B;4;B;A;B;D;A;A;B;A;B;A;A;A;A;B;A;A;D;A;A;B;;MG;1;M;1;;2.0;;;;1.0;3;;1.0;;3
1813296;E;G;A;D;4;K;A;B;D;B;A;C;B;C;B;B;A;B;C;B;B;E;B;B;B;PR;PR;0;F;0;;1.0;4.0;1.0;2.0;1.0;2;1.0;1.0;1.0;2
1585548;C;B;B;A;1;A;A;B;B;A;A;B;A;A;A;B;A;A;A;A;A;B;A;A;B;;PB;0;F;0;13.0;3.0;;;;1.0;11;;1.0;;1
2300213;;G;B;E;4;J;A;C;D;B;A;B;B;B;B;B;A;A;B;A;B;D;A;A;B;;MG;0;F;0;1.0;1.0;;;;1.0;3;;1.0;;1
1301072;B;C;B;B;3;B;A;B;B;B;B;B;A;B;A;A;A;A;B;A;A;C;A;A;B;;MT;0;F;0;2.0;2.0;;;;1.0;4;;1.0;;1
780466;B;E;D;D;4;E;A;C;C;B;B;B;A;A;A;B;A;A;B;A;B;E;A;C;B;CE;CE;0;F;0;;3.0;2.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
1130919;B;C;A;A;5;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B;;PE;1;M;1;;3.0;;;;;3;;1.0;;3
2020876;B;E;A;A;1;A;A;B;C;A;A;B;A;A;A;A;A;A;A;A;A;B;A;A;B;;PE;1;M;0;5.0;5.0;;;;1.0;7;;1.0;;1
1455224;E;E;D;D;3;E;A;B;D;C;A;B;B;B;B;B;A;A;D;A;A;E;B;B;B;PR;PR;1;F;0;;1.0;4.0;1.0;3.0;1.0;2;1.0;1.0;1.0;2
2556031;C;C;A;A;2;D;A;B;C;B;B;B;B;B;A;B;A;B;B;B;A;C;A;A;B;PR;PR;1;F;0;;3.0;2.0;1.0;2.0;2.0;3;2.0;1.0;1.0;2
1869249;C;D;B;B;2;A;A;B;C;B;A;B;A;A;A;A;A;A;B;A;A;C;A;B;B;;PE;1;M;0;17.0;3.0;;;;1.0;14;;1.0;;1
1252579;E;E;C;;3;B;A;B;C;A;B;B;B;B;A;B;A;A;B;A;A;D;A;B;B;SP;SP;0;M;0;;1.0;2.0;1.0;2.0;;3;1.0;1.0;1.0;2
896196;B;D;A;A;4;C;A;B;C;B;A;B;A;B;A;A;A;A;B;A;A;C;A;A;B;;RS;1;F;1;;3.0;;;;1.0;1;;1.0;;3
2645435;C;D;A;A;4;B;A;B;D;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B;;MG;0;F;0;;3.0;;1.0;2.0;1.0;3;;1.0;;2
1212885;E;F;;D;1;B;A;B;C;A;A;B;A;B;A;B;A;A;B;A;A;B;A;B;B;;GO;1;F;0;11.0;1.0;;;;1.0;11;;1.0;;1
260089;C;C;A;A;3;B;A;B;C;A;A;B;B;A;A;A;A;A;B;A;A;D;A;A;B;BA;BA;1;M;0;;3.0;2.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
1911539;D;E;B;B;4;E;A;B;C;A;B;B;B;B;B;A;A;A;C;B;B;E;A;C;B;;PA;0;M;0;8.0;1.0;;;;1.0;11;;1.0;;1
911391;C;D;C;A;4;D;A;B;C;B;B;B;A;A;B;A;A;A;B;A;A;E;A;B;B;;MT;1;F;0;5.0;1.0;;;;1.0;6;;1.0;;1
115298;A;A;A;A;5;B;A;B;D;A;A;B;B;A;A;A;A;A;B;A;A;D;A;B;B;;SE;1;F;0;;3.0;;;;1.0;8;;1.0;;1
2481217;D;G;B;D;5;C;A;B;C;B;C;B;A;B;A;A;A;A;C;A;B;E;A;C;B;;CE;1;M;1;;3.0;;;;1.0;2;;1.0;;3
2116356;E;E;C;D;3;D;A;B;C;B;A;B;A;A;A;A;A;A;B;A;B;C;A;A;B;;AM;0;F;0;2.0;3.0;;;;1.0;5;;1.0;;1
769699;C;C;C;C;4;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B;AM;AM;1;F;0;;5.0;2.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
2175535;E;G;B;D;4;H;A;C;D;B;C;B;B;B;A;B;A;A;C;A;A;D;A;A;B;;MG;0;F;0;3.0;1.0;;;;1.0;5;;1.0;;1
511467;C;D;D;D;4;D;A;C;D;B;A;B;B;A;A;A;A;A;B;A;A;C;A;A;B;PA;PA;1;F;0;;1.0;2.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
214978;E;E;C;B;4;D;A;C;D;A;A;B;A;B;A;A;A;A;B;A;A;E;A;A;B;AM;AM;1;F;0;;1.0;2.0;1.0;2.0;1.0;2;1.0;3.0;1.0;2
208928;B;C;;B;3;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;D;A;A;B;;RN;0;M;0;2.0;1.0;;;;1.0;5;;1.0;;1
1622025;C;D;B;C;4;B;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;B;A;A;B;;BA;1;F;0;1.0;2.0;;;;1.0;4;;1.0;;1
2444066;F;F;E;E;4;Q;D;E;E;D;A;C;C;B;B;C;C;B;E;B;B;E;A;E;B;;SP;0;M;1;;2.0;;;;1.0;1;;1.0;;3
761503;E;D;D;D;2;G;A;C;D;B;A;B;A;B;A;B;A;A;C;A;A;D;A;B;B;;DF;1;F;1;;3.0;;;;1.0;2;;1.0;;3
2174305;E;;C;;2;B;A;C;C;B;A;B;B;B;A;B;A;A;C;A;A;C;A;A;B;;PB;0;M;0;;1.0;;1.0;3.0;1.0;2;;1.0;;2
2400651;A;B;A;A;3;B;A;B;C;A;A;B;A;B;B;A;A;A;B;A;A;C;A;A;A;;MG;0;F;1;;3.0;;;;1.0;2;;1.0;;3
825134;E;G;B;D;4;D;A;C;C;B;C;B;B;B;B;B;A;A;B;A;A;E;A;A;B;GO;GO;1;M;0;;3.0;2.0;1.0;2.0;1.0;2;1.0;1.0;1.0;2
853484;D;F;;;4;G;A;B;C;A;A;B;A;B;A;B;A;A;C;A;A;C;A;B;B;RS;RS;0;M;0;;1.0;4.0;1.0;3.0;1.0;2;1.0;1.0;1.0;2
2538071;;;A;A;5;A;A;B;D;A;B;B;B;B;A;A;A;A;B;A;A;C;A;A;B;;PA;1;M;0;;3.0;;1.0;2.0;1.0;5;;1.0;;2
126304;;E;C;B;2;D;A;C;C;A;B;B;B;A;A;B;A;A;B;A;A;C;A;B;B;PE;PE;0;M;0;;3.0;2.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
222664;F;F;E;D;4;N;B;E;D;B;A;B;B;B;A;B;A;B;C;A;B;E;A;E;B;;PB;0;F;0;3.0;1.0;;;;1.0;5;;1.0;;1
562573;B;G;C;D;4;C;A;B;C;A;A;B;A;A;A;B;A;A;B;A;A;B;A;A;B;;PR;0;F;0;12.0;1.0;;;;2.0;12;;1.0;;1
1924576;C;E;C;B;4;E;A;B;D;A;A;B;B;B;B;B;A;A;B;A;A;A;B;B;B;;SP;0;M;0;2.0;3.0;;;;1.0;5;;1.0;;1
2103707;E;F;C;B;4;B;A;B;C;A;B;B;A;B;A;A;A;A;B;A;A;C;A;B;B;PA;PA;0;F;0;;3.0;2.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
2447533;E;C;C;;4;G;A;B;D;B;B;B;A;A;A;A;A;A;B;A;A;D;A;B;B;;AL;1;F;0;1.0;3.0;;;;1.0;5;;1.0;;1
383412;E;E;B;B;6;G;A;C;D;A;B;B;A;B;A;A;A;A;B;A;A;E;A;A;B;;MG;0;F;0;1.0;3.0;;;;1.0;3;;1.0;;1
2616568;E;E;D;D;5;J;A;C;D;B;A;B;B;B;B;B;A;B;E;A;B;E;A;D;B;;SP;1;M;1;;2.0;;;;1.0;2;;1.0;;3
821282;D;D;D;B;3;C;A;C;C;A;A;B;B;B;A;B;A;A;B;B;B;D;A;B;B;MG;MG;1;M;0;;1.0;4.0;1.0;3.0;;2;1.0;1.0;1.0;2
1280345;B;E;B;;4;C;A;B;C;B;A;B;A;B;A;A;A;A;B;A;A;C;A;A;B;;RJ;0;M;0;4.0;1.0;;;;1.0;10;;1.0;;1
2325544;E;F;B;D;4;G;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;D;A;A;B;MA;MA;0;F;0;;1.0;4.0;1.0;2.0;1.0;2;1.0;1.0;1.0;2
2166553;E;E;;;3;B;A;D;D;B;A;B;A;B;A;B;B;B;B;A;B;D;A;B;B;SP;SP;1;F;0;;1.0;4.0;1.0;3.0;1.0;2;1.0;1.0;1.0;2
995617;C;E;C;B;3;B;A;B;C;A;A;B;B;B;A;A;A;A;B;A;B;D;A;A;B;;SP;0;M;0;;3.0;;1.0;2.0;1.0;3;;1.0;;2
1435999;B;E;;B;6;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A;;PA;1;F;0;9.0;3.0;;;;1.0;11;;1.0;;1
833604;B;C;B;B;3;A;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A;BA;BA;1;F;0;;1.0;2.0;1.0;2.0;1.0;2;1.0;1.0;1.0;2
640033;G;D;D;D;3;D;A;B;C;B;A;B;B;B;A;A;A;A;B;A;A;C;A;B;B;;SE;1;F;0;1.0;1.0;;;;1.0;3;;1.0;;1
1968447;B;E;B;B;4;B;A;B;B;B;A;B;A;B;A;A;A;A;B;A;A;B;A;A;A;MT;MT;1;F;0;;3.0;2.0;1.0;2.0;1.0;2;1.0;1.0;1.0;2
1195459;F;E;C;B;4;E;A;D;D;B;A;B;A;B;A;B;A;B;D;A;B;E;A;B;B;RJ;RJ;0;F;0;;1.0;4.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
1441921;G;E;D;C;3;B;A;B;D;A;A;B;A;A;A;A;A;A;B;A;A;D;A;A;A;;AM;1;F;0;2.0;3.0;;;;1.0;4;;1.0;;1
1759552;;D;A;A;4;B;A;B;C;A;B;B;A;A;A;A;A;A;B;A;B;E;A;A;B;;BA;1;F;0;2.0;2.0;;;;1.0;6;;2.0;;1
1248594;D;E;C;B;3;A;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B;;SE;1;F;0;;3.0;;1.0;2.0;1.0;3;;1.0;;2
1484239;F;G;D;D;4;O;A;C;D;C;A;B;B;B;B;B;B;B;D;B;B;D;A;D;B;SP;SP;0;F;0;;1.0;4.0;1.0;3.0;1.0;3;1.0;1.0;1.0;2
895370;C;C;C;B;3;B;A;B;D;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B;;MA;1;M;0;1.0;3.0;;;;1.0;5;;1.0;;1
944439;;D;C;B;2;C;A;B;B;A;A;B;B;B;A;B;A;B;B;A;A;C;A;B;B;;SP;1;F;0;;1.0;;1.0;2.0;1.0;3;;1.0;;2
760998;B;B;A;A;4;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A;;MA;0;F;0;4.0;4.0;;;;1.0;8;;1.0;;1
1581850;;D;;;6;B;A;B;C;B;A;B;B;B;A;B;A;A;B;A;A;B;A;A;B;RS;RS;0;F;0;;3.0;2.0;1.0;2.0;1.0;4;1.0;1.0;1.0;2
1349440;C;E;B;D;3;A;A;B;D;A;A;B;B;A;A;A;A;A;A;A;A;D;A;B;B;;PI;0;F;1;;3.0;;;;1.0;1;;1.0;;3
867187;C;C;A;A;6;B;A;B;D;A;C;B;A;B;A;A;A;A;B;B;A;E;A;A;B;;BA;0;M;0;;1.0;;1.0;2.0;1.0;3;;1.0;;2
1214851;A;B;A;A;2;D;B;C;C;C;A;B;B;B;B;B;A;B;D;B;B;D;A;C;B;;PE;1;F;0;17.0;1.0;;;;;16;;1.0;;1
559348;A;B;A;B;2;A;A;B;A;A;A;B;A;B;A;A;A;A;B;A;A;B;A;A;B;;AC;1;F;0;8.0;3.0;;;;2.0;11;;1.0;;1
600493;;B;A;A;3;B;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;B;A;A;B;;BA;1;F;0;2.0;3.0;;;;1.0;6;;1.0;;1
315302;E;F;B;D;4;I;A;B;C;B;A;B;B;B;A;A;A;A;B;A;A;C;A;A;B;;PB;0;F;0;17.0;1.0;;;;2.0;12;;1.0;;1
1165046;F;E;;;5;J;A;B;C;B;B;B;A;B;A;A;A;A;B;A;A;E;A;C;B;SP;SP;0;F;0;;1.0;2.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
190036;G;G;D;E;4;N;A;D;D;C;A;B;B;B;A;B;B;B;E;B;B;E;A;E;B;SP;SP;0;F;0;;1.0;4.0;1.0;3.0;1.0;2;1.0;1.0;1.0;2
1191237;E;E;A;B;5;B;A;B;D;A;A;B;A;B;A;A;A;A;B;A;A;D;A;A;B;;PA;1;F;0;;1.0;;1.0;2.0;;2;;1.0;;2
2062249;E;E;C;D;4;G;A;C;D;B;A;B;B;B;A;B;A;B;C;A;B;E;A;C;B;;SP;0;F;0;2.0;1.0;;;;1.0;5;;1.0;;1
2526368;C;D;C;C;3;E;A;C;C;B;A;B;A;B;A;B;A;B;C;A;A;D;A;B;B;;RJ;0;F;0;1.0;1.0;;;;1.0;5;;2.0;;1
936416;B;E;;B;2;D;A;B;D;A;A;B;A;B;A;B;A;A;B;B;A;C;A;A;B;;GO;1;F;0;3.0;2.0;;;;1.0;4;;1.0;;1
1641194;E;G;A;D;4;J;A;D;D;D;A;B;B;B;A;B;A;B;B;A;A;D;A;B;B;;SC;0;M;1;;1.0;;;;1.0;1;;1.0;;3
2528775;C;E;B;C;4;C;A;C;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;A;;AL;0;F;1;;3.0;;;;1.0;1;;1.0;;3
278199;C;D;A;A;3;C;A;B;D;A;B;B;B;B;A;B;A;A;B;A;A;C;A;B;B;CE;CE;1;M;0;;3.0;2.0;1.0;2.0;1.0;3;2.0;1.0;1.0;2
1104912;E;E;C;A;4;B;A;C;C;A;B;B;A;A;A;A;A;A;B;A;A;B;A;A;B;CE;CE;1;F;0;;3.0;2.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
1764141;E;E;D;D;5;H;A;C;C;D;A;B;B;B;A;B;A;B;C;B;A;E;A;D;B;SP;SP;0;F;0;;1.0;2.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
677315;E;E;D;B;4;E;A;C;D;B;A;B;A;A;A;B;A;B;C;A;A;E;A;A;B;;PR;0;F;0;1.0;1.0;;;;1.0;3;;1.0;;1
1512119;D;E;;B;3;A;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B;;SE;1;F;0;;3.0;;;;1.0;12;;1.0;;1
1576667;D;D;D;D;4;O;D;D;D;C;A;B;B;B;B;B;A;A;C;A;B;E;A;B;B;MT;MT;0;F;0;;1.0;4.0;1.0;3.0;1.0;3;1.0;1.0;1.0;2
1197066;B;B;A;B;2;B;A;B;C;A;A;B;A;A;A;A;A;A;A;A;A;C;A;B;B;;MG;1;F;0;4.0;3.0;;;;1.0;6;;1.0;;1
2566913;B;C;C;B;9;F;A;D;D;B;B;B;B;B;A;B;A;A;C;A;A;E;A;B;B;;SP;1;F;0;3.0;1.0;;;;1.0;5;;1.0;;1
1372362;E;E;B;B;4;C;A;C;C;B;A;B;A;B;A;B;A;B;C;A;A;D;A;B;B;;RS;0;F;1;;1.0;;;;1.0;1;;1.0;;3
209663;;E;B;C;4;C;A;B;C;B;A;B;A;B;A;A;A;A;B;A;A;D;A;A;B;;SP;1;F;0;;1.0;;1.0;2.0;1.0;2;;1.0;;2
1626729;D;E;B;B;4;D;A;D;D;A;A;B;B;B;B;B;A;A;C;A;A;E;A;C;B;;SP;0;F;0;1.0;1.0;;;;1.0;3;;1.0;;1
513350;E;F;B;B;2;C;A;C;C;B;B;B;A;B;A;B;A;A;B;A;A;A;A;A;B;;CE;1;F;0;;3.0;;1.0;2.0;1.0;3;;1.0;;2
354068;E;E;D;D;4;O;B;C;C;B;A;B;B;B;A;B;A;A;C;A;B;E;A;B;B;;RJ;0;F;0;;1.0;;1.0;3.0;1.0;3;;1.0;;2
1729804;E;E;D;;5;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;B;A;B;B;;ES;0;F;1;;1.0;;;;1.0;2;;1.0;;3
1752385;E;F;B;E;4;K;A;C;C;B;A;B;B;B;B;B;A;B;C;A;B;E;A;B;B;SP;SP;0;F;0;;1.0;4.0;1.0;3.0;1.0;2;1.0;1.0;1.0;2
95069;E;E;C;D;3;D;A;C;C;B;B;B;A;B;A;A;A;A;B;A;B;D;A;A;B;;MG;1;F;0;2.0;1.0;;;;1.0;4;;1.0;;1
2543629;C;A;A;B;3;B;A;B;C;A;A;B;B;A;A;A;A;A;B;A;A;C;A;A;B;;RJ;1;M;0;5.0;1.0;;;;;11;;1.0;;1
1158208;E;C;;B;3;B;A;C;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;A;;AL;0;F;0;2.0;3.0;;;;1.0;5;;1.0;;1
2373181;;E;E;;2;Q;A;D;D;A;A;B;B;A;A;B;A;A;C;A;B;C;A;B;B;;PA;1;M;1;;3.0;;;;1.0;2;;1.0;;3
2418055;E;E;C;D;2;J;A;B;C;B;A;B;B;B;B;B;A;B;D;B;A;C;A;C;B;;SP;0;M;1;;1.0;;;;1.0;1;;1.0;;3
2317207;E;E;B;C;3;F;A;B;C;A;A;B;A;A;B;A;A;A;B;A;B;D;A;B;B;;SP;0;F;0;1.0;3.0;;;;1.0;4;;1.0;;1
902519;C;D;C;B;3;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;A;CE;CE;0;M;0;;3.0;2.0;1.0;2.0;1.0;2;1.0;1.0;1.0;2
636358;E;E;B;;4;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;C;A;A;B;SP;SP;0;M;0;;1.0;2.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
