;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;SG_UF_ESC;SG_UF_PROVA;TP_LINGUA;TP_SEXO;IN_TREINEIRO;TP_ANO_CONCLUIU;TP_COR_RACA;TP_DEPENDENCIA_ADM_ESC;TP_ENSINO;TP_ESCOLA;TP_ESTADO_CIVIL;TP_FAIXA_ETARIA;TP_LOCALIZACAO_ESC;TP_NACIONALIDADE;TP_SIT_FUNC_ESC;TP_ST_CONCLUSAO
2459291;;B;;B;4;D;A;C;C;A;A;B;A;A;A;A;A;A;B;A;B;D;A;A;B;SC;SC;0;F;0;;3.0;2.0;1.0;2.0;1.0;5;1.0;1.0;1.0;2
1352087;C;E;;C;4;D;A;C;D;A;A;B;B;A;A;A;A;A;D;A;A;E;A;B;B;;PI;1;F;0;5.0;3.0;;;;1.0;7;;1.0;;1
718758;D;E;C;D;4;B;A;B;D;B;B;B;B;B;A;B;A;B;E;A;A;E;A;A;B;SP;SP;0;M;0;;1.0;2.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
2475639;C;E;C;B;3;D;A;B;D;A;A;B;A;A;A;A;A;A;B;A;A;D;A;A;B;;PE;1;F;0;9.0;3.0;;;;1.0;11;;1.0;;1
2502870;F;E;E;D;5;P;C;E;D;D;A;C;C;B;B;B;A;B;E;B;B;E;B;E;B;SP;SP;0;M;0;;1.0;4.0;1.0;3.0;1.0;2;1.0;1.0;1.0;2
1355202;E;E;;B;3;E;A;D;D;D;A;B;A;B;A;A;A;A;C;A;A;D;A;B;B;;SE;1;F;1;;3.0;;;;1.0;2;;1.0;;3
1139625;G;F;D;D;5;M;D;E;E;C;A;C;C;B;A;C;A;B;E;A;B;E;A;D;B;MG;MG;1;F;0;;1.0;1.0;1.0;2.0;1.0;2;1.0;1.0;1.0;2
443353;B;B;B;B;1;B;A;B;B;A;A;B;B;A;A;B;A;A;B;A;A;B;A;A;B;;DF;1;F;0;4.0;3.0;;;;1.0;6;;1.0;;1
1255755;E;E;A;A;5;E;A;B;D;B;B;B;C;B;B;B;A;A;B;A;B;D;A;A;B;;PR;0;F;1;;1.0;;;;1.0;1;;1.0;;3
1153832;E;E;C;B;5;E;A;B;D;B;A;B;B;B;A;B;A;B;D;B;A;D;B;B;B;SP;SP;0;M;0;;1.0;2.0;1.0;2.0;1.0;4;1.0;2.0;1.0;2
